summonerName,kills,assists,deaths,championName,lane,champExperience,dragonKills,baronKills,goldEarned,totalDamageDealtToChampions,totalHeal,totalMinionsKilled,turretTakedowns,turretsLost,visionScore,timePlayed,win
Dahyuns thighs,1,17,6,Zyra,BOTTOM,15920,0,0,9685,27715,3432,54,1,5,126,2366,True
Dahyuns thighs,1,22,11,Maokai,BOTTOM,15388,0,0,9914,20968,9123,42,1,8,107,2160,False
Dahyuns thighs,7,7,11,Zyra,BOTTOM,14332,0,0,12479,39719,4334,64,0,10,127,2425,False
Dahyuns thighs,2,14,2,Zyra,BOTTOM,6596,0,0,7736,11371,466,26,2,1,47,1251,True
Dahyuns thighs,35,16,11,Qiyana,MIDDLE,25731,0,0,22747,66780,2303,88,3,4,0,1295,False
Dahyuns thighs,6,10,4,Zyra,BOTTOM,9960,0,0,9248,16574,418,21,3,0,46,1449,True
Dahyuns thighs,9,31,8,Varus,NONE,14991,0,0,11639,22065,2962,50,2,4,0,877,False
Dahyuns thighs,15,10,7,Pantheon,NONE,12228,0,0,12730,31248,2371,26,1,1,0,903,False
Dahyuns thighs,2,25,7,Zyra,BOTTOM,16433,0,0,11960,29115,3257,47,0,6,121,2379,True
Dahyuns thighs,7,10,4,Zyra,BOTTOM,11425,0,0,10022,18521,704,27,1,3,74,1782,True
Mooonbyul,0,35,4,Rakan,BOTTOM,14081,0,0,9999,12342,9318,46,2,3,57,1985,True
Mooonbyul,10,12,7,Udyr,JUNGLE,18181,3,1,14527,25647,3763,36,0,1,21,1781,True
Mooonbyul,3,6,6,KSante,TOP,12872,0,0,10370,17266,2861,164,2,9,10,1594,False
Mooonbyul,6,13,6,KSante,TOP,16875,0,0,12736,16100,6178,183,4,5,12,1941,True
Mooonbyul,8,8,7,Lillia,TOP,21619,0,0,15908,29056,12187,200,2,5,26,2172,True
Mooonbyul,15,5,5,Jax,TOP,18443,1,0,17268,39504,8556,225,1,11,14,1935,False
Mooonbyul,5,2,6,Jax,TOP,20338,0,0,15397,17057,6424,239,3,4,18,2071,True
Mooonbyul,12,11,7,Sylas,TOP,18600,0,0,14356,40425,31616,163,3,5,21,1909,True
Mooonbyul,7,6,1,Lillia,TOP,17279,0,0,12649,31130,9323,201,4,2,16,1588,True
Mooonbyul,14,6,2,Lillia,TOP,25307,1,0,19959,53720,16493,314,3,4,21,2227,True
Zamee,16,15,7,AurelionSol,MIDDLE,18848,0,0,18506,66646,7152,234,2,8,42,2479,False
Zamee,3,9,7,AurelionSol,MIDDLE,14220,0,0,9955,14374,605,183,2,1,22,1631,True
Zamee,0,4,9,AurelionSol,NONE,7669,0,0,5653,11783,0,112,0,10,6,1168,False
Zamee,0,1,4,Sion,NONE,8082,0,0,5206,10156,1808,128,0,4,11,1148,False
Zamee,6,14,5,AurelionSol,MIDDLE,13640,0,0,11307,30642,2124,164,4,3,13,1646,True
Zamee,2,17,4,Blitzcrank,BOTTOM,13003,1,0,8998,6286,1891,51,3,5,54,1864,True
Zamee,5,6,2,Vayne,BOTTOM,11490,0,0,11037,13932,4436,144,4,2,9,1492,True
Zamee,10,15,8,Jinx,JUNGLE,17425,0,1,16003,32353,7757,173,3,10,19,1982,False
Zamee,2,11,8,Lux,BOTTOM,13596,0,0,10718,16715,2037,79,3,11,68,2312,False
Zamee,20,4,5,AurelionSol,MIDDLE,17876,0,0,17394,50876,6081,210,0,10,17,2113,False
Pingo,9,13,3,Lux,NONE,8664,0,0,9634,15470,274,34,2,1,17,1196,True
Pingo,6,34,10,Lulu,BOTTOM,16444,0,0,14208,14639,3863,17,5,7,74,2490,True
Pingo,3,17,10,Nautilus,BOTTOM,10761,0,0,9512,14498,4278,41,0,8,31,2012,False
Pingo,2,3,9,Bard,BOTTOM,7966,0,0,6519,6552,2903,26,0,11,28,1479,False
Pingo,8,15,9,Lux,BOTTOM,12058,0,0,10210,19887,290,29,1,2,34,1864,True
Pingo,2,10,3,Rakan,NONE,5887,0,0,6114,4446,2763,29,4,2,16,1124,True
Pingo,1,9,6,Lulu,BOTTOM,7483,0,0,6225,7303,745,11,0,11,29,1530,False
